[2026-01-22 11:25:48] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:35:49] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:41:21] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:46:26] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:47:51] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:50:07] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:51:31] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:54:07] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:57:25] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:59:56] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:03:13] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:04:16] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:08:46] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 12:12:07] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
